Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,OPTIMITY LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,HYPEROPTIC LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,HYPEROPTIC LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,HYPEROPTIC LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,HYPEROPTIC LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,HYPEROPTIC LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,HYPEROPTIC LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,QUBIC GROUP PLC,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,SPITFIRE NETWORK SERVICES LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,SPITFIRE NETWORK SERVICES LTD,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,SYNERGYPLUS,,
2016-11-23,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,NIMANS NETWORK SERVICES,,
2016-11-17,3000.00,GRANTS TO EXTERNAL ORGANISATIONS,BITBUZZ UK,,
2016-11-16,3000.00,CONSULTANCY-PROJECT MANAGEMENT,CAPITA SYMONDS LTD,,
2016-12-06,2995.00,PROPERTY MANAGEMENT FEES,GVA GRIMLEY LTD,,
2016-11-23,2988.00,GRANTS TO EXTERNAL ORGANISATIONS,VAIONI GROUP LTD,,
2016-11-23,2988.00,GRANTS TO EXTERNAL ORGANISATIONS,VAIONI GROUP LTD,,
2016-11-23,2988.00,GRANTS TO EXTERNAL ORGANISATIONS,VAIONI GROUP LTD,,
2016-11-23,2960.00,GRANTS TO EXTERNAL ORGANISATIONS,CHANNEL TELECOM LTD,,
2016-11-23,2960.00,GRANTS TO EXTERNAL ORGANISATIONS,CHANNEL TELECOM LTD,,
2016-11-23,2960.00,GRANTS TO EXTERNAL ORGANISATIONS,CHANNEL TELECOM LTD,,
2016-11-23,2960.00,GRANTS TO EXTERNAL ORGANISATIONS,CHANNEL TELECOM LTD,,
