Organisational Unit,Payment Date,Amount,Beneficiary Name
Soc Serv Adults,2013-04-26,792.12,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,791.70,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,712.88,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,712.74,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,712.74,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,663.46,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,662.90,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,662.90,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,662.48,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,662.48,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,654.92,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,654.36,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,646.38,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,637.70,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,637.28,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,612.36,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,612.36,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,612.08,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,612.08,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,607.18,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,606.34,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,568.26,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,564.20,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,558.74,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-12,558.32,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,557.06,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,555.66,LAUREL MOUNT NURSING HOME
Soc Serv Adults,2013-04-26,3073.56,LEEDS AUTISM SERVICES
Soc Serv Adults,2013-04-12,3052.42,LEEDS AUTISM SERVICES
Soc Serv Adults,2013-04-26,1362.90,LEEDS JEWISH WELFARE BOARD
Soc Serv Adults,2013-04-12,1362.62,LEEDS JEWISH WELFARE BOARD
Soc Serv Adults,2013-04-12,1362.62,LEEDS JEWISH WELFARE BOARD
Soc Serv Adults,2013-04-26,1967.98,LEONARD CHESHIRE FOUNDATION
Soc Serv Adults,2013-04-19,1967.98,LEONARD CHESHIRE FOUNDATION
Soc Serv Adults,2013-04-19,1314.18,LEONARD CHESHIRE FOUNDATION
Soc Serv Adults,2013-04-26,1314.18,LEONARD CHESHIRE FOUNDATION
Soc Serv Adults,2013-04-19,1076.46,LEONARD CHESHIRE FOUNDATION
Soc Serv Adults,2013-04-26,1076.46,LEONARD CHESHIRE FOUNDATION
Soc Serv Adults,2013-04-26,855.26,LEYLANDS REST HOME
Soc Serv Adults,2013-04-26,855.26,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,850.36,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,850.36,LEYLANDS REST HOME
Soc Serv Adults,2013-04-26,638.96,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,638.54,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,630.00,LEYLANDS REST HOME
Soc Serv Adults,2013-04-26,626.36,LEYLANDS REST HOME
Soc Serv Adults,2013-04-26,612.36,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,612.08,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,610.82,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,605.92,LEYLANDS REST HOME
Soc Serv Adults,2013-04-26,605.78,LEYLANDS REST HOME
Soc Serv Adults,2013-04-26,598.22,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,597.94,LEYLANDS REST HOME
Soc Serv Adults,2013-04-26,565.88,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,564.62,LEYLANDS REST HOME
Soc Serv Adults,2013-04-26,560.14,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,559.30,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,541.52,LEYLANDS REST HOME
Soc Serv Adults,2013-04-26,540.40,LEYLANDS REST HOME
Soc Serv Adults,2013-04-12,164694.04,LIFEWAYS COMMUNITY CARE
Soc Serv Adults,2013-04-12,164694.04,LIFEWAYS COMMUNITY CARE
Soc Serv Adults,2013-04-08,2550.00,LIFEWAYS COMMUNITY CARE
Soc Serv Adults,2013-04-12,1874.37,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-05,1700.44,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-19,1444.48,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-19,993.75,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-19,783.44,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-26,754.32,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-12,754.18,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-26,612.36,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-12,612.08,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-26,603.12,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-12,602.84,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-26,602.70,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-12,602.28,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-26,594.30,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-12,594.02,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-26,573.44,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-12,572.18,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-26,571.76,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-12,570.08,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-26,556.92,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-05,-1131.90,LINDISFARNE CARE HOME LTD
Soc Serv Adults,2013-04-26,1104.60,LINKAGE COMMUNITY TRUST LTD
Soc Serv Adults,2013-04-05,1101.38,LINKAGE COMMUNITY TRUST LTD
Soc Serv Adults,2013-04-12,1101.38,LINKAGE COMMUNITY TRUST LTD
Soc Serv Adults,2013-04-26,695.24,LINSON COURT NURSING HOME
Soc Serv Adults,2013-04-26,14389.50,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,7019.60,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,7019.60,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-19,6348.99,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,5870.34,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,1582.28,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,1582.28,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,1267.00,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,955.78,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,951.02,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,855.26,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,855.26,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,850.36,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,850.36,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-19,800.00,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,795.34,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,745.08,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,712.88,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,710.36,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,708.12,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,654.50,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,635.60,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,635.18,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,626.22,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,624.40,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,612.36,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,612.36,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,612.36,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,612.08,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,612.08,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,612.08,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,588.84,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,588.56,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,519.54,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,519.26,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-12,502.18,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-19,-668.14,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-19,-5356.82,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-26,-8397.18,LISTER HOUSE NURSING HOME
Soc Serv Adults,2013-04-19,650.02,LITTLE SISTERS OF THE POOR
Soc Serv Adults,2013-04-26,632.38,LITTLE SISTERS OF THE POOR
Soc Serv Adults,2013-04-26,665.42,LIZ & IAN BIRKETT
Soc Serv Adults,2013-04-12,662.48,LIZ & IAN BIRKETT
Soc Serv Adults,2013-04-05,1149.68,LOCH ARTHUR CAMPHILL COMMUNITY LTD
Soc Serv Adults,2013-04-19,1149.68,LOCH ARTHUR CAMPHILL COMMUNITY LTD
Soc Serv Adults,2013-04-05,1120.98,LOCH ARTHUR CAMPHILL COMMUNITY LTD
Soc Serv Adults,2013-04-19,1120.98,LOCH ARTHUR CAMPHILL COMMUNITY LTD
Soc Serv Adults,2013-04-17,14000.00,LUV2MEETU
Soc Serv Adults,2013-04-12,511.42,M & F COONEY
Soc Serv Adults,2013-04-26,502.04,M & F COONEY
Soc Serv Adults,2013-04-26,1267.00,M FLYNN
Soc Serv Adults,2013-04-26,1267.00,M FLYNN
Soc Serv Adults,2013-04-26,1267.00,M FLYNN
Soc Serv Adults,2013-04-12,1267.00,M FLYNN
Soc Serv Adults,2013-04-12,1267.00,M FLYNN
Soc Serv Adults,2013-04-12,1267.00,M FLYNN
Soc Serv Adults,2013-04-12,1267.00,M FLYNN
Soc Serv Adults,2013-04-12,1267.00,M FLYNN
Soc Serv Adults,2013-04-12,1267.00,M FLYNN
Soc Serv Adults,2013-04-26,905.80,M FLYNN
Soc Serv Adults,2013-04-26,905.80,M FLYNN
Soc Serv Adults,2013-04-26,905.80,M FLYNN
Soc Serv Adults,2013-04-12,900.76,M FLYNN
Soc Serv Adults,2013-04-12,900.76,M FLYNN
Soc Serv Adults,2013-04-12,900.76,M FLYNN
Soc Serv Adults,2013-04-12,900.76,M FLYNN
Soc Serv Adults,2013-04-12,900.76,M FLYNN
Soc Serv Adults,2013-04-12,900.76,M FLYNN
Soc Serv Adults,2013-04-26,900.74,M FLYNN
Soc Serv Adults,2013-04-26,885.21,M FLYNN
Soc Serv Adults,2013-04-26,855.26,M FLYNN
Soc Serv Adults,2013-04-12,850.36,M FLYNN
Soc Serv Adults,2013-04-12,850.36,M FLYNN
Soc Serv Adults,2013-04-26,662.90,M FLYNN
Soc Serv Adults,2013-04-26,662.90,M FLYNN
Soc Serv Adults,2013-04-12,662.48,M FLYNN
Soc Serv Adults,2013-04-12,662.48,M FLYNN
Soc Serv Adults,2013-04-12,662.48,M FLYNN
Soc Serv Adults,2013-04-12,662.48,M FLYNN
Soc Serv Adults,2013-04-26,652.26,M FLYNN
Soc Serv Adults,2013-04-12,651.00,M FLYNN
Soc Serv Adults,2013-04-12,651.00,M FLYNN
Soc Serv Adults,2013-04-26,620.62,M FLYNN
Soc Serv Adults,2013-04-12,619.08,M FLYNN
Soc Serv Adults,2013-04-12,619.08,M FLYNN
Soc Serv Adults,2013-04-12,612.08,M FLYNN
Soc Serv Adults,2013-04-12,591.36,M FLYNN
Soc Serv Adults,2013-04-12,591.36,M FLYNN
Soc Serv Adults,2013-04-26,589.82,M FLYNN
Soc Serv Adults,2013-04-12,549.78,M FLYNN
Soc Serv Adults,2013-04-12,549.78,M FLYNN
Soc Serv Adults,2013-04-26,548.94,M FLYNN
Soc Serv Adults,2013-04-12,537.18,M FLYNN
Soc Serv Adults,2013-04-12,537.18,M FLYNN
Soc Serv Adults,2013-04-26,536.20,M FLYNN
Soc Serv Adults,2013-04-26,-512.49,M FLYNN
Soc Serv Adults,2013-04-12,638.40,M V & S A PERKINS
Soc Serv Adults,2013-04-26,632.66,M V & S A PERKINS
Soc Serv Adults,2013-04-26,2704.94,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,2704.94,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,1582.28,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,1582.28,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,1351.98,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,1351.98,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,1319.64,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,1319.64,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,1177.68,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,1177.68,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,1154.72,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,1149.96,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,1123.22,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,1118.18,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,1114.12,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,1109.08,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,971.60,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,966.56,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,965.02,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,961.80,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,866.04,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,861.00,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,808.78,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,803.74,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,712.88,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,712.74,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,668.36,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,666.82,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,662.90,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,662.48,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,623.14,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,623.14,MALVERN NURSING HOME
Soc Serv Adults,2013-04-26,623.14,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,622.72,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,622.72,MALVERN NURSING HOME
Soc Serv Adults,2013-04-12,622.72,MALVERN NURSING HOME
Soc Serv Adults,2013-04-29,3500.00,MANGAR INTERNATIONAL LTD
Soc Serv Adults,2013-04-05,2688.00,MANGAR INTERNATIONAL LTD
Soc Serv Adults,2013-04-26,664.02,MANOR COURT CARE HOME
Soc Serv Adults,2013-04-05,663.74,MANOR COURT CARE HOME
Soc Serv Adults,2013-04-19,663.74,MANOR COURT CARE HOME
Soc Serv Adults,2013-04-26,904.96,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-12,900.06,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-26,886.76,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-12,882.00,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-26,818.16,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-12,818.16,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-26,814.24,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-12,809.34,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-26,722.96,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-12,718.06,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-26,665.42,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-12,662.48,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-26,649.18,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-12,644.28,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-26,615.16,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-12,613.06,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-26,602.28,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-12,602.00,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-26,570.50,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-12,566.86,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-26,509.18,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-12,508.90,MANOR PARK CARE HOME
Soc Serv Adults,2013-04-26,1167.32,MANTON HALL CARE HOME
Soc Serv Adults,2013-04-12,1162.42,MANTON HALL CARE HOME
Soc Serv Adults,2013-04-12,612.08,MARYAM REST HOME
Soc Serv Adults,2013-04-26,1483.02,MAYFIELD HOUSE CARE HOME
Soc Serv Adults,2013-04-12,1480.08,MAYFIELD HOUSE CARE HOME
Soc Serv Adults,2013-04-12,1480.08,MAYFIELD HOUSE CARE HOME
Soc Serv Adults,2013-04-12,818.16,METHODIST HOMES HOUSING ASSOCIATION
Soc Serv Adults,2013-04-12,612.08,METHODIST HOMES HOUSING ASSOCIATION
Soc Serv Adults,2013-04-12,612.08,METHODIST HOMES HOUSING ASSOCIATION
Soc Serv Adults,2013-04-12,592.06,METHODIST HOMES HOUSING ASSOCIATION
Soc Serv Adults,2013-04-12,582.40,METHODIST HOMES HOUSING ASSOCIATION
Soc Serv Adults,2013-04-12,506.94,METHODIST HOMES HOUSING ASSOCIATION
Soc Serv Adults,2013-04-15,3000.00,MG CONSULTANCY AND DESIGN
Soc Serv Adults,2013-04-12,2000.00,MG CONSULTANCY AND DESIGN
Soc Serv Adults,2013-04-26,1267.00,MILELANDS LTD
Soc Serv Adults,2013-04-26,592.62,MILELANDS LTD
Soc Serv Adults,2013-04-19,3279.90,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,1582.28,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,1195.60,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,1195.60,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,1123.22,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,1118.18,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,905.80,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,900.76,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,869.68,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,855.26,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,850.36,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,770.00,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,662.90,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,662.48,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,662.48,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,660.66,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,640.22,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,626.36,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,626.08,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,612.36,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,612.36,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,612.08,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,611.80,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,610.54,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,584.78,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,584.08,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,581.42,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,580.16,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,579.18,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-26,577.64,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,567.28,MILL LODGE CARE HOME
Soc Serv Adults,2013-04-12,850.36,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,850.36,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,850.36,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,616.00,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,614.04,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,612.08,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,612.08,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,612.08,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,612.08,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,602.14,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,600.46,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,541.80,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,529.90,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,529.90,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,529.90,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,529.90,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,511.42,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-12,503.30,MILL VIEW CARE HOME
Soc Serv Adults,2013-04-26,757.12,MILTON HOUSE
Soc Serv Adults,2013-04-12,756.70,MILTON HOUSE
Soc Serv Adults,2013-04-26,3847.48,MOORFIELDS LODGE
Soc Serv Adults,2013-04-19,3844.26,MOORFIELDS LODGE
Soc Serv Adults,2013-04-26,3113.60,MOORFIELDS LODGE
Soc Serv Adults,2013-04-19,3108.84,MOORFIELDS LODGE
Soc Serv Adults,2013-04-26,2530.64,MOORFIELDS LODGE
Soc Serv Adults,2013-04-19,2527.70,MOORFIELDS LODGE
Soc Serv Adults,2013-04-26,668.64,MOORFIELDS LODGE
Soc Serv Adults,2013-04-19,668.64,MOORFIELDS LODGE
Soc Serv Adults,2013-04-26,2270.08,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-26,628.32,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-12,626.92,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-26,612.36,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-26,612.36,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-26,612.36,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-26,612.36,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-26,612.36,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-05,612.08,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-05,612.08,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-05,612.08,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-05,612.08,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-12,612.08,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-12,612.08,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-12,612.08,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-12,612.08,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-05,610.82,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-12,610.82,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-26,608.02,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-05,607.74,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-12,607.74,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-26,605.64,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-12,605.36,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-26,604.94,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-05,604.52,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-12,604.52,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-26,566.72,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-05,558.32,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-12,558.32,MORTON CLOSE NURSING HOME LTD
Soc Serv Adults,2013-04-29,6150.00,MOUNTWAY LTD
Soc Serv Adults,2013-04-10,6040.80,MOUNTWAY LTD
Soc Serv Adults,2013-04-10,4200.00,MOUNTWAY LTD
Soc Serv Adults,2013-04-29,528.00,MOUNTWAY LTD
Soc Serv Adults,2013-04-05,600.00,MRS GILLIAN J STEAD
Soc Serv Adults,2013-04-12,5165.50,NAS SERVICES LTD
Soc Serv Adults,2013-04-12,4299.04,NAS SERVICES LTD
Soc Serv Adults,2013-04-19,4293.57,NATIONAL AUTISTIC SOCIETY LANCS
Soc Serv Adults,2013-04-29,5850.00,NEIL SHAW CONSULTING LTD
Soc Serv Adults,2013-04-19,618.38,NESFIELD LODGE
Soc Serv Adults,2013-04-22,1625.00,NET VIEW SYSTEMS LTD
Soc Serv Adults,2013-04-26,3934.56,NEVILLE HEALTH CARE LIMITED
Soc Serv Adults,2013-04-12,3929.80,NEVILLE HEALTH CARE LIMITED
Soc Serv Adults,2013-04-26,612.36,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-26,612.36,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-26,612.36,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-26,612.36,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-26,612.36,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-12,612.08,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-12,612.08,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-12,612.08,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-12,612.08,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-12,612.08,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-12,604.24,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-26,600.32,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-26,599.90,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-12,599.62,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-26,591.64,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-12,590.10,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-26,589.12,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-12,587.44,NEW LINE RESIDENTIAL HOME
Soc Serv Adults,2013-04-12,531.58,NEW LINE RESIDENTIAL HOME
